2026-08-08 20:52:11,211 | INFO | MainThread | epoch 31 dev metrics (tuned thresholds): st1_macro_f1=0.648, st2_macro_f1=0.606, st3_macro_f1=0.430, st3_family_macro_f1=0.592, mean_macro_f1=0.561
2026-08-08 20:52:56,849 | INFO | MainThread | epoch 32: mean train loss = 0.6087
2026-08-08 20:53:04,825 | INFO | MainThread | epoch 32 dev metrics (tuned thresholds): st1_macro_f1=0.604, st2_macro_f1=0.609, st3_macro_f1=0.453, st3_family_macro_f1=0.593, mean_macro_f1=0.555
2026-08-08 20:53:51,721 | INFO | MainThread | epoch 33: mean train loss = 0.5970
2026-08-08 20:53:59,712 | INFO | MainThread | epoch 33 dev metrics (tuned thresholds): st1_macro_f1=0.599, st2_macro_f1=0.603, st3_macro_f1=0.449, st3_family_macro_f1=0.573, mean_macro_f1=0.551
2026-08-08 20:54:46,667 | INFO | MainThread | epoch 34: mean train loss = 0.5893
2026-08-08 20:54:54,773 | INFO | MainThread | epoch 34 dev metrics (tuned thresholds): st1_macro_f1=0.675, st2_macro_f1=0.621, st3_macro_f1=0.451, st3_family_macro_f1=0.582, mean_macro_f1=0.582
2026-08-08 20:54:54,808 | INFO | MainThread | epoch 34: new best mean_macro_f1=0.582, saved to runs/last_layer_roberta/best
2026-08-08 20:55:40,848 | INFO | MainThread | epoch 35: mean train loss = 0.5802
2026-08-08 20:55:50,134 | INFO | MainThread | epoch 35 dev metrics (tuned thresholds): st1_macro_f1=0.626, st2_macro_f1=0.614, st3_macro_f1=0.444, st3_family_macro_f1=0.548, mean_macro_f1=0.561
2026-08-08 20:56:36,548 | INFO | MainThread | epoch 36: mean train loss = 0.5769
2026-08-08 20:56:44,555 | INFO | MainThread | epoch 36 dev metrics (tuned thresholds): st1_macro_f1=0.635, st2_macro_f1=0.620, st3_macro_f1=0.441, st3_family_macro_f1=0.574, mean_macro_f1=0.565
2026-08-08 20:57:30,823 | INFO | MainThread | epoch 37: mean train loss = 0.5606
2026-08-08 20:57:38,845 | INFO | MainThread | epoch 37 dev metrics (tuned thresholds): st1_macro_f1=0.636, st2_macro_f1=0.613, st3_macro_f1=0.444, st3_family_macro_f1=0.575, mean_macro_f1=0.564
2026-08-08 20:58:25,936 | INFO | MainThread | epoch 38: mean train loss = 0.5433
2026-08-08 20:58:33,948 | INFO | MainThread | epoch 38 dev metrics (tuned thresholds): st1_macro_f1=0.672, st2_macro_f1=0.629, st3_macro_f1=0.474, st3_family_macro_f1=0.570, mean_macro_f1=0.592
2026-08-08 20:58:33,990 | INFO | MainThread | epoch 38: new best mean_macro_f1=0.592, saved to runs/last_layer_roberta/best
2026-08-08 20:59:19,514 | INFO | MainThread | epoch 39: mean train loss = 0.5242
2026-08-08 20:59:28,840 | INFO | MainThread | epoch 39 dev metrics (tuned thresholds): st1_macro_f1=0.655, st2_macro_f1=0.623, st3_macro_f1=0.461, st3_family_macro_f1=0.572, mean_macro_f1=0.580
2026-08-08 21:00:14,604 | INFO | MainThread | epoch 40: mean train loss = 0.5323
2026-08-08 21:00:22,603 | INFO | MainThread | epoch 40 dev metrics (tuned thresholds): st1_macro_f1=0.638, st2_macro_f1=0.630, st3_macro_f1=0.468, st3_family_macro_f1=0.572, mean_macro_f1=0.578
2026-08-08 21:01:09,459 | INFO | MainThread | epoch 41: mean train loss = 0.5083
2026-08-08 21:01:17,419 | INFO | MainThread | epoch 41 dev metrics (tuned thresholds): st1_macro_f1=0.643, st2_macro_f1=0.626, st3_macro_f1=0.459, st3_family_macro_f1=0.577, mean_macro_f1=0.576
2026-08-08 21:02:04,421 | INFO | MainThread | epoch 42: mean train loss = 0.5089
2026-08-08 21:02:12,491 | INFO | MainThread | epoch 42 dev metrics (tuned thresholds): st1_macro_f1=0.657, st2_macro_f1=0.637, st3_macro_f1=0.472, st3_family_macro_f1=0.577, mean_macro_f1=0.589
2026-08-08 21:02:58,159 | INFO | MainThread | epoch 43: mean train loss = 0.4972
2026-08-08 21:03:07,496 | INFO | MainThread | epoch 43 dev metrics (tuned thresholds): st1_macro_f1=0.652, st2_macro_f1=0.628, st3_macro_f1=0.483, st3_family_macro_f1=0.585, mean_macro_f1=0.587
2026-08-08 21:03:53,346 | INFO | MainThread | epoch 44: mean train loss = 0.4769
2026-08-08 21:04:01,360 | INFO | MainThread | epoch 44 dev metrics (tuned thresholds): st1_macro_f1=0.653, st2_macro_f1=0.642, st3_macro_f1=0.468, st3_family_macro_f1=0.588, mean_macro_f1=0.587
2026-08-08 21:04:48,223 | INFO | MainThread | epoch 45: mean train loss = 0.4718
2026-08-08 21:04:56,216 | INFO | MainThread | epoch 45 dev metrics (tuned thresholds): st1_macro_f1=0.641, st2_macro_f1=0.628, st3_macro_f1=0.481, st3_family_macro_f1=0.585, mean_macro_f1=0.584
2026-08-08 21:05:43,204 | INFO | MainThread | epoch 46: mean train loss = 0.4787
2026-08-08 21:05:51,292 | INFO | MainThread | epoch 46 dev metrics (tuned thresholds): st1_macro_f1=0.648, st2_macro_f1=0.640, st3_macro_f1=0.487, st3_family_macro_f1=0.602, mean_macro_f1=0.592
2026-08-08 21:06:37,096 | INFO | MainThread | epoch 47: mean train loss = 0.4567
2026-08-08 21:06:46,411 | INFO | MainThread | epoch 47 dev metrics (tuned thresholds): st1_macro_f1=0.631, st2_macro_f1=0.639, st3_macro_f1=0.483, st3_family_macro_f1=0.608, mean_macro_f1=0.584
2026-08-08 21:07:32,097 | INFO | MainThread | epoch 48: mean train loss = 0.4481
2026-08-08 21:07:40,084 | INFO | MainThread | epoch 48 dev metrics (tuned thresholds): st1_macro_f1=0.649, st2_macro_f1=0.643, st3_macro_f1=0.500, st3_family_macro_f1=0.589, mean_macro_f1=0.597
2026-08-08 21:07:40,123 | INFO | MainThread | epoch 48: new best mean_macro_f1=0.597, saved to runs/last_layer_roberta/best
2026-08-08 21:08:27,191 | INFO | MainThread | epoch 49: mean train loss = 0.4494
2026-08-08 21:08:35,146 | INFO | MainThread | epoch 49 dev metrics (tuned thresholds): st1_macro_f1=0.631, st2_macro_f1=0.639, st3_macro_f1=0.509, st3_family_macro_f1=0.605, mean_macro_f1=0.593
2026-08-08 21:09:22,015 | INFO | MainThread | epoch 50: mean train loss = 0.4397
2026-08-08 21:09:30,062 | INFO | MainThread | epoch 50 dev metrics (tuned thresholds): st1_macro_f1=0.649, st2_macro_f1=0.635, st3_macro_f1=0.506, st3_family_macro_f1=0.626, mean_macro_f1=0.597
2026-08-08 21:10:15,765 | INFO | MainThread | epoch 51: mean train loss = 0.4425
2026-08-08 21:10:25,080 | INFO | MainThread | epoch 51 dev metrics (tuned thresholds): st1_macro_f1=0.659, st2_macro_f1=0.640, st3_macro_f1=0.510, st3_family_macro_f1=0.622, mean_macro_f1=0.603
2026-08-08 21:10:25,118 | INFO | MainThread | epoch 51: new best mean_macro_f1=0.603, saved to runs/last_layer_roberta/best
2026-08-08 21:11:10,807 | INFO | MainThread | epoch 52: mean train loss = 0.4618
2026-08-08 21:11:18,808 | INFO | MainThread | epoch 52 dev metrics (tuned thresholds): st1_macro_f1=0.654, st2_macro_f1=0.642, st3_macro_f1=0.509, st3_family_macro_f1=0.631, mean_macro_f1=0.602
2026-08-08 21:12:05,850 | INFO | MainThread | epoch 53: mean train loss = 0.4280
2026-08-08 21:12:13,828 | INFO | MainThread | epoch 53 dev metrics (tuned thresholds): st1_macro_f1=0.658, st2_macro_f1=0.647, st3_macro_f1=0.508, st3_family_macro_f1=0.629, mean_macro_f1=0.604
2026-08-08 21:12:13,875 | INFO | MainThread | epoch 53: new best mean_macro_f1=0.604, saved to runs/last_layer_roberta/best
2026-08-08 21:13:00,764 | INFO | MainThread | epoch 54: mean train loss = 0.4133
2026-08-08 21:13:08,692 | INFO | MainThread | epoch 54 dev metrics (tuned thresholds): st1_macro_f1=0.639, st2_macro_f1=0.641, st3_macro_f1=0.495, st3_family_macro_f1=0.629, mean_macro_f1=0.592
2026-08-08 21:13:54,328 | INFO | MainThread | epoch 55: mean train loss = 0.4098
2026-08-08 21:14:03,644 | INFO | MainThread | epoch 55 dev metrics (tuned thresholds): st1_macro_f1=0.628, st2_macro_f1=0.645, st3_macro_f1=0.523, st3_family_macro_f1=0.608, mean_macro_f1=0.599
2026-08-08 21:14:49,439 | INFO | MainThread | epoch 56: mean train loss = 0.4111
2026-08-08 21:14:57,380 | INFO | MainThread | epoch 56 dev metrics (tuned thresholds): st1_macro_f1=0.651, st2_macro_f1=0.640, st3_macro_f1=0.532, st3_family_macro_f1=0.628, mean_macro_f1=0.608
2026-08-08 21:14:57,419 | INFO | MainThread | epoch 56: new best mean_macro_f1=0.608, saved to runs/last_layer_roberta/best
2026-08-08 21:15:43,564 | INFO | MainThread | epoch 57: mean train loss = 0.3970
2026-08-08 21:15:52,978 | INFO | MainThread | epoch 57 dev metrics (tuned thresholds): st1_macro_f1=0.644, st2_macro_f1=0.644, st3_macro_f1=0.529, st3_family_macro_f1=0.631, mean_macro_f1=0.605
2026-08-08 21:16:39,337 | INFO | MainThread | epoch 58: mean train loss = 0.3995
2026-08-08 21:16:47,331 | INFO | MainThread | epoch 58 dev metrics (tuned thresholds): st1_macro_f1=0.627, st2_macro_f1=0.654, st3_macro_f1=0.547, st3_family_macro_f1=0.643, mean_macro_f1=0.610
2026-08-08 21:16:47,368 | INFO | MainThread | epoch 58: new best mean_macro_f1=0.610, saved to runs/last_layer_roberta/best
2026-08-08 21:17:32,929 | INFO | MainThread | epoch 59: mean train loss = 0.3831
2026-08-08 21:17:42,216 | INFO | MainThread | epoch 59 dev metrics (tuned thresholds): st1_macro_f1=0.651, st2_macro_f1=0.648, st3_macro_f1=0.519, st3_family_macro_f1=0.636, mean_macro_f1=0.606
2026-08-08 21:18:27,974 | INFO | MainThread | epoch 60: mean train loss = 0.3838
2026-08-08 21:18:35,921 | INFO | MainThread | epoch 60 dev metrics (tuned thresholds): st1_macro_f1=0.671, st2_macro_f1=0.652, st3_macro_f1=0.516, st3_family_macro_f1=0.642, mean_macro_f1=0.613
2026-08-08 21:18:35,961 | INFO | MainThread | epoch 60: new best mean_macro_f1=0.613, saved to runs/last_layer_roberta/best
2026-08-08 21:19:23,020 | INFO | MainThread | epoch 61: mean train loss = 0.3779
2026-08-08 21:19:31,017 | INFO | MainThread | epoch 61 dev metrics (tuned thresholds): st1_macro_f1=0.653, st2_macro_f1=0.660, st3_macro_f1=0.498, st3_family_macro_f1=0.637, mean_macro_f1=0.604
2026-08-08 21:20:17,922 | INFO | MainThread | epoch 62: mean train loss = 0.3660
2026-08-08 21:20:26,014 | INFO | MainThread | epoch 62 dev metrics (tuned thresholds): st1_macro_f1=0.644, st2_macro_f1=0.655, st3_macro_f1=0.508, st3_family_macro_f1=0.642, mean_macro_f1=0.602
2026-08-08 21:21:11,619 | INFO | MainThread | epoch 63: mean train loss = 0.3692
2026-08-08 21:21:20,928 | INFO | MainThread | epoch 63 dev metrics (tuned thresholds): st1_macro_f1=0.639, st2_macro_f1=0.659, st3_macro_f1=0.510, st3_family_macro_f1=0.638, mean_macro_f1=0.603
2026-08-08 21:22:06,333 | INFO | MainThread | epoch 64: mean train loss = 0.3597
2026-08-08 21:22:14,227 | INFO | MainThread | epoch 64 dev metrics (tuned thresholds): st1_macro_f1=0.636, st2_macro_f1=0.660, st3_macro_f1=0.524, st3_family_macro_f1=0.633, mean_macro_f1=0.607
2026-08-08 21:23:00,970 | INFO | MainThread | epoch 65: mean train loss = 0.3611
2026-08-08 21:23:08,951 | INFO | MainThread | epoch 65 dev metrics (tuned thresholds): st1_macro_f1=0.630, st2_macro_f1=0.657, st3_macro_f1=0.521, st3_family_macro_f1=0.643, mean_macro_f1=0.603
2026-08-08 21:23:56,193 | INFO | MainThread | epoch 66: mean train loss = 0.3499
2026-08-08 21:24:04,137 | INFO | MainThread | epoch 66 dev metrics (tuned thresholds): st1_macro_f1=0.636, st2_macro_f1=0.656, st3_macro_f1=0.529, st3_family_macro_f1=0.653, mean_macro_f1=0.607
2026-08-08 21:24:49,874 | INFO | MainThread | epoch 67: mean train loss = 0.3436
2026-08-08 21:24:59,234 | INFO | MainThread | epoch 67 dev metrics (tuned thresholds): st1_macro_f1=0.582, st2_macro_f1=0.654, st3_macro_f1=0.526, st3_family_macro_f1=0.646, mean_macro_f1=0.587
2026-08-08 21:25:44,620 | INFO | MainThread | epoch 68: mean train loss = 0.3385
