2026-08-04 15:08:44,646 | INFO | MainThread | epoch 34 dev metrics: st1_macro_f1=0.651, st2_macro_f1=0.604, st3_macro_f1=0.382, st3_family_macro_f1=0.559, mean_macro_f1=0.546
2026-08-04 15:10:27,526 | INFO | MainThread | epoch 35: mean train loss = 0.3122
2026-08-04 15:10:37,416 | INFO | MainThread | epoch 35 dev metrics: st1_macro_f1=0.658, st2_macro_f1=0.631, st3_macro_f1=0.378, st3_family_macro_f1=0.558, mean_macro_f1=0.556
2026-08-04 15:12:20,345 | INFO | MainThread | epoch 36: mean train loss = 0.3069
2026-08-04 15:12:30,167 | INFO | MainThread | epoch 36 dev metrics: st1_macro_f1=0.658, st2_macro_f1=0.623, st3_macro_f1=0.381, st3_family_macro_f1=0.560, mean_macro_f1=0.554
2026-08-04 15:14:12,994 | INFO | MainThread | epoch 37: mean train loss = 0.3014
2026-08-04 15:14:22,904 | INFO | MainThread | epoch 37 dev metrics: st1_macro_f1=0.662, st2_macro_f1=0.652, st3_macro_f1=0.389, st3_family_macro_f1=0.575, mean_macro_f1=0.568
2026-08-04 15:14:22,956 | INFO | MainThread | epoch 37: new best mean_macro_f1=0.568, saved to runs/lora_roberta/best
2026-08-04 15:16:05,572 | INFO | MainThread | epoch 38: mean train loss = 0.2941
2026-08-04 15:16:15,457 | INFO | MainThread | epoch 38 dev metrics: st1_macro_f1=0.648, st2_macro_f1=0.618, st3_macro_f1=0.431, st3_family_macro_f1=0.625, mean_macro_f1=0.566
2026-08-04 15:17:58,291 | INFO | MainThread | epoch 39: mean train loss = 0.2886
2026-08-04 15:18:08,288 | INFO | MainThread | epoch 39 dev metrics: st1_macro_f1=0.660, st2_macro_f1=0.606, st3_macro_f1=0.413, st3_family_macro_f1=0.621, mean_macro_f1=0.560
2026-08-04 15:19:51,066 | INFO | MainThread | epoch 40: mean train loss = 0.2852
2026-08-04 15:20:00,898 | INFO | MainThread | epoch 40 dev metrics: st1_macro_f1=0.658, st2_macro_f1=0.613, st3_macro_f1=0.418, st3_family_macro_f1=0.600, mean_macro_f1=0.563
2026-08-04 15:21:43,831 | INFO | MainThread | epoch 41: mean train loss = 0.2745
2026-08-04 15:21:53,748 | INFO | MainThread | epoch 41 dev metrics: st1_macro_f1=0.652, st2_macro_f1=0.619, st3_macro_f1=0.388, st3_family_macro_f1=0.559, mean_macro_f1=0.553
2026-08-04 15:23:36,635 | INFO | MainThread | epoch 42: mean train loss = 0.2657
2026-08-04 15:23:46,720 | INFO | MainThread | epoch 42 dev metrics: st1_macro_f1=0.660, st2_macro_f1=0.616, st3_macro_f1=0.415, st3_family_macro_f1=0.595, mean_macro_f1=0.564
2026-08-04 15:25:29,503 | INFO | MainThread | epoch 43: mean train loss = 0.2575
